Year,Regione,HPI_average
2015,SICILIA,904.5287571097836
2015,TOSCANA,1732.7506182830048
2015,TRENTINO-ALTO ADIGE,2096.5045746332007
2015,UMBRIA,1018.7810945273632
2015,VALLE D'AOSTA/VALLE`E D'AOSTE,2295.1025641025644
2015,VENETO,1299.1149734109194
2016,ABRUZZO,820.3754315304948
2016,BASILICATA,725.2132936507937
2016,CALABRIA,674.9063371807965
2016,CAMPANIA,1053.032355575459
2016,EMILIA-ROMAGNA,1359.2775372795227
2016,FRIULI-VENEZIA GIULIA,979.5050578034683
2016,LAZIO,1466.7453157529494
2016,LIGURIA,2206.684509079774
2016,LOMBARDIA,1307.953595902122
2016,MARCHE,1008.734631147541
2016,MOLISE,716.4012096774193
2016,PIEMONTE,1000.1277735793764
2016,PUGLIA,1007.5695302843017
2016,SARDEGNA,1046.911971830986
2016,SICILIA,882.7301520270271
2016,TOSCANA,1675.712669683258
2016,TRENTINO-ALTO ADIGE,2107.5796274038457
2016,UMBRIA,972.9975124378109
2016,VALLE D'AOSTA/VALLE`E D'AOSTE,2262.6254143789492
2016,VENETO,1273.5886277170298
2017,ABRUZZO,794.77416570771
2017,BASILICATA,725.5853174603175
2017,CALABRIA,672.4517145109903
2017,CAMPANIA,1051.6199478921785
2017,EMILIA-ROMAGNA,1347.8087385527551
2017,FRIULI-VENEZIA GIULIA,968.3851156069366
2017,LAZIO,1430.5077841003315
2017,LIGURIA,2178.8058035714284
2017,LOMBARDIA,1308.3148021510278
2017,MARCHE,986.6667241986138
2017,MOLISE,714.9395161290322
2017,PIEMONTE,991.6054669127116
2017,PUGLIA,995.8848169864959
2017,SARDEGNA,1046.8246667062858
2017,SICILIA,859.9243294145706
2017,TOSCANA,1627.3916677099744
2017,TRENTINO-ALTO ADIGE,2115.8653846153848
2017,UMBRIA,938.3853838746713
2017,VALLE D'AOSTA/VALLE`E D'AOSTE,2263.9141414141413
2017,VENETO,1259.1485217696288
2018,ABRUZZO,787.2065592635213
2018,BASILICATA,724.5925390119601
2018,CALABRIA,664.8452139585278
2018,CAMPANIA,1051.226893597836
2018,EMILIA-ROMAGNA,1345.5136531239082
2018,FRIULI-VENEZIA GIULIA,968.0361534600665
2018,LAZIO,1405.6874641067016
2018,LIGURIA,2145.3794642857147
2018,LOMBARDIA,1316.032349235732
2018,MARCHE,1012.0901978892912
2018,MOLISE,712.4506170824083
2018,PIEMONTE,985.6484437564687
2018,PUGLIA,990.5822981366459
2018,SARDEGNA,1050.2601969057664
2018,SICILIA,843.755212677231
2018,TOSCANA,1588.964225196089
2018,TRENTINO-ALTO ADIGE,2127.696814903846
2018,UMBRIA,926.9199751861042
2018,VALLE D'AOSTA/VALLE`E D'AOSTE,2280.997474747475
2018,VENETO,1249.6009187691986
2019,ABRUZZO,776.6451149425288
2019,BASILICATA,724.4940476190476
2019,CALABRIA,662.050983436853
2019,CAMPANIA,1049.995491433724
2019,EMILIA-ROMAGNA,1340.207848328978
2019,FRIULI-VENEZIA GIULIA,962.9004329004331
2019,LAZIO,1381.7430875653658
2019,LIGURIA,2124.4991100667903
2019,LOMBARDIA,1323.8442478792554
2019,MARCHE,1018.3620576041295
2019,MOLISE,700.8571428571429
2019,PIEMONTE,975.5979602223701
2019,PUGLIA,983.5462292002147
2019,SARDEGNA,1049.6769662921347
2019,SICILIA,833.3710992590484
2019,TOSCANA,1559.1498838109992
2019,TRENTINO-ALTO ADIGE,2135.8248197115386
2019,UMBRIA,906.3641975308642
2019,VALLE D'AOSTA/VALLE`E D'AOSTE,2247.735838282321
2019,VENETO,1246.3438611601873
2020,ABRUZZO,758.3663793103449
2020,BASILICATA,685.2224598835558
2020,CALABRIA,646.3397224378882
2020,CAMPANIA,1021.1953336339045
2020,EMILIA-ROMAGNA,1335.424190535492
2020,FRIULI-VENEZIA GIULIA,957.2907647907648
2020,LAZIO,1363.3983068846137
2020,LIGURIA,2115.4269816115584
2020,LOMBARDIA,1323.9932150628626
2020,MARCHE,1011.1646015831279
2020,MOLISE,690.7551020408164
2020,PIEMONTE,964.5885680686614
2020,PUGLIA,974.4343403205919
2020,SARDEGNA,1046.0358146067417
2020,SICILIA,815.1228503532171
2020,TOSCANA,1534.0158546017014
2020,TRENTINO-ALTO ADIGE,2134.3318318318316
2020,UMBRIA,882.2098765432099
2020,VALLE D'AOSTA/VALLE`E D'AOSTE,2245.816810344828
2020,VENETO,1243.2063413872802
2021,ABRUZZO,748.6738505747127
2021,BASILICATA,660.6958250497019
2021,CALABRIA,646.7937631027254
2021,CAMPANIA,1014.9120829576195
2021,EMILIA-ROMAGNA,1326.3883656318703
2021,FRIULI-VENEZIA GIULIA,962.4603746397695
2021,LAZIO,1332.5872689938399
2021,LIGURIA,2099.632516703786
2021,LOMBARDIA,1324.5501999111507
2021,MARCHE,1050.299834574028
2021,MOLISE,690.894925981549
2021,PIEMONTE,947.9961430168116
2021,PUGLIA,964.0783462637187
2021,SARDEGNA,1043.8622216619128
2021,SICILIA,794.4865230288486
2021,TOSCANA,1518.5633817990345
