territory_code,territory_name,year,population,area_km2,gdp,tourism_nights,density,log_density,log_gdp,log_tourism_nights
ITC3,Liguria,2021,1518495,5417.6165,48537.4,4073470.0,280.2883888145276,5.635819033176198,10.790089913775116,15.2200057740316
ITC3,Liguria,2022,1509227,5417.6165,50256.8,4781872.0,278.57767341043797,5.629696919622017,10.824901140149024,15.380342659599085
ITC3,Liguria,2023,1507636,5417.6165,51110.7,4844884.0,278.284001829956,5.62864218153978,10.841749147618449,15.393433860811921
ITC3,Liguria,2024,1509140,5417.6165,,4816944.0,278.56161468793516,5.629639272556551,,15.387650260051736
ITC4,Lombardia,2010,9670614,23862.8721,400195.6,44844537.0,405.2577560435401,6.004523299343287,12.899708706568582,17.618712333030057
ITC4,Lombardia,2011,9746113,23863.0977,402677.0,45512293.0,408.4177638010509,6.012290581429429,12.905890030731173,17.633493023254438
ITC4,Lombardia,2012,9811011,23863.0975,390277.3,44268722.0,411.13736387323564,6.018927377327289,12.87461279108788,17.605788935983515
ITC4,Lombardia,2013,9877541,23863.0976,382129.3,43536902.0,413.92534890357234,6.025685640908273,12.853514311992106,17.58911945827639
ITC4,Lombardia,2014,9929769,23863.0975,384761.1,43156494.0,416.11400196474915,6.030959265902782,12.86037790118751,17.580343462431863
ITC4,Lombardia,2015,9954769,23863.0976,389042.7,44980280.0,417.1616429209928,6.0334737795926365,12.87144438521398,17.621734729464954
ITC4,Lombardia,2016,9958447,23863.0975,395615.9,46166403.0,417.3157738638079,6.033843186700528,12.888199070036258,17.647762883715913
ITC4,Lombardia,2017,9970419,23863.0975,403930.1,46606052.0,417.8174690020858,6.035044660125075,12.908997122171654,17.65724096190797
ITC4,Lombardia,2018,9986962,23863.0975,410264.4,46729360.0,418.5107151324341,6.036702493263492,12.924557108884773,17.659883218884126
ITC4,Lombardia,2019,10010833,23863.0974,410719.4,46766901.0,419.5110480502837,6.039089861794756,12.92566553525466,17.660686267083403
ITC4,Lombardia,2020,10027602,23863.0973,380035.5,32586972.0,420.21376663456005,6.040763549974567,12.848019948391725,17.299423134560985
ITC4,Lombardia,2021,9981554,23863.0918,419993.6,42203335.0,418.2841889750431,6.036161079443182,12.947994752048212,17.558009804319678
ITC4,Lombardia,2022,9943004,23863.0918,437951.5,46834300.0,416.66872353900095,6.032291478109655,12.989863452633891,17.662126398426345
ITC4,Lombardia,2023,9976509,23863.0918,441407.3,45749934.0,418.0727746267984,6.035655519348753,12.997723310955285,17.638700907061814
ITC4,Lombardia,2024,10012054,23863.0919,,45304398.0,419.56231162148777,6.039212052710907,,17.628914671833428
ITF,Sud,2010,14095771,73797.449,,,191.00620944228032,5.252305937687193,,
ITF,Sud,2011,14121260,73797.7751,,,191.35075523435395,5.254108158737996,,
ITF,Sud,2012,14123826,73797.7751,,,191.3855259303068,5.254289854060648,,
ITF,Sud,2013,14096931,73797.7752,,,191.02108379007066,5.252383808289955,,
ITF,Sud,2014,14067411,73797.7752,,,190.62107173117056,5.2502875398374504,,
ITF,Sud,2015,14029842,73797.7752,,,190.11199134360896,5.247613326640217,,
ITF,Sud,2016,13976810,73797.7751,,,189.39337915080316,5.243826223175833,,
ITF,Sud,2017,13924553,73797.7751,,,188.68526837200002,5.240080380286153,,
ITF,Sud,2018,13863703,73797.7752,,,187.86071751387973,5.235700823966505,,
ITF,Sud,2019,13790862,73797.7752,,,186.8736823383261,5.230432893087723,,
ITF,Sud,2020,13707269,73797.7752,,,185.74095171367713,5.224352970237379,,
ITF,Sud,2021,13539074,73803.0939,,,183.44859659060984,5.211934500679959,,
ITF,Sud,2022,13512083,73803.0939,,,183.08288021513417,5.209938947664831,,
ITF,Sud,2023,13464669,73803.0939,,,182.44044102329968,5.206423769201352,,
ITF,Sud,2024,13415163,73803.0939,,,181.76965613632626,5.202740259871698,,
ITF1,Abruzzo,2010,1326015,10831.537,33952.7,3349037.0,122.42168401400465,4.807471511364944,10.432723658543305,15.024183399789363
ITF1,Abruzzo,2011,1329220,10831.4964,34778.9,3346473.0,122.71803921755446,4.809889359798623,10.456766160036064,15.023417513359403
ITF1,Abruzzo,2012,1331624,10831.4964,34165.9,3197758.0,122.93998454359455,4.811696305755694,10.438983349616342,14.977960497217559
ITF1,Abruzzo,2013,1332583,10831.4964,33349.6,2987950.0,123.02852263330854,4.812416219817491,10.414801057268843,14.910098091493765
ITF1,Abruzzo,2014,1329918,10831.4964,32913.6,2947385.0,122.78248091371752,4.810414341966552,10.40164122519821,14.896428894517163
ITF1,Abruzzo,2015,1325836,10831.4964,33008.8,3093723.0,122.40561701151468,4.807340259642234,10.404529471566049,14.944885777988327
ITF1,Abruzzo,2016,1319294,10831.4964,33192.3,3245466.0,121.8016376758432,4.802393800799881,10.410073200294345,14.992769503357033
ITF1,Abruzzo,2017,1313930,10831.4964,33325.6,3601086.0,121.30641524286524,4.7983197019617805,10.414081149385956,15.096746024600765
ITF1,Abruzzo,2018,1306059,10831.4964,33208.1,3555228.0,120.57973817911254,4.792311261713012,10.410549101050913,15.083929754184012
ITF1,Abruzzo,2019,1300645,10831.4964,33412.1,3606096.0,120.07989957878766,4.788157351038945,10.416673388807988,15.098136304687205
ITF1,Abruzzo,2020,1293941,10831.4964,30550.3,2054383.0,119.46096386091214,4.782989655754049,10.327129784518792,14.535486117521422
ITF1,Abruzzo,2021,1281012,10831.7158,33100.8,2835886.0,118.26491976460461,4.772927190783968,10.407312730257374,14.857864968365003
ITF1,Abruzzo,2022,1275950,10831.7158,34957.6,3453385.0,117.79758844854479,4.768967799433618,10.461891177527377,15.054865467405543
ITF1,Abruzzo,2023,1272627,10831.7158,35692.1,3623081.0,117.49080418081132,4.766360068230593,10.482684654764409,15.102835326789869
ITF1,Abruzzo,2024,1269571,10831.7158,,3704928.0,117.20866974740973,4.7639558483609825,,15.125174383325117
ITF2,Molise,2010,315939,4460.3778,7306.2,2304774.0,70.83234070441297,4.260315686013413,8.896478581741016,14.65049318188355
ITF2,Molise,2011,314816,4460.4373,7191.9,2359436.0,70.57962680026912,4.256741530620069,8.880710671716637,14.673933165389945
