Region;Year;territory_code;population;log_population;area_km2;density;log_density;gdp;log_gdp;gdp_per_capita;log_gdp_per_capita;tourism_arrivals;log_tourism_arrivals;tourism_nightspent;log_tourism_nightspent;HPI_average;log_HPI_average;Observation_Disp_Income;log_Observation_Disp_Income;Observation_Average_Monthly_Exp;log_Observation_Average_Monthly_Exp;Observation_CPI_housing;log_Observation_CPI_housing;Observation_Income_Percentage
Abruzzo;2021;ITF1;1281012.0;14.063160948516494;10831.7158;118.2649197646046;4.772927190783967;33100.8;10.407312730257374;25839.57058950268;10.159662339705156;891648;13.700826714845563;2835886.0;14.857864968365003;748.6738505747127;6.618303442187152;21525.7;9.97700284909236;261.0;5.564520407322694;109.9;4.699570861409576;12.0
Abruzzo;2022;ITF1;1275950.0;14.059201557166144;10831.7158;117.7975884485448;4.768967799433618;34957.6;10.461891177527377;27397.311806888985;10.218200178325507;1130109;13.937824646213532;3453385.0;15.054865467405543;748.5402298850574;6.618124949756773;22880.9;10.038057780384444;273.0;5.60947179518496;155.3;5.045358730154642;11.3
Abruzzo;2023;ITF1;1272627.0;14.05659382596312;10831.7158;117.49080418081132;4.766360068230593;35692.1;10.482684654764409;28046.00248148122;10.241601386765563;1208561;14.004940953648257;3623081.0;15.102835326789869;753.721264367816;6.625022623756221;24394.5;10.102112976036612;283.0;5.645446897643238;159.2;5.0701612734102826;11.1
Abruzzo;2024;ITF1;1269571.0;14.054189606093509;10831.7158;117.20866974740972;4.763955848360982;;;;;1222376;14.0163070636938;3704928.0;15.125174383325117;762.0112715599721;6.6359613476506984;;;249.0;5.517452896464707;146.7;4.9883896851489355;9.0
Basilicata;2011;ITF5;580790.0;13.272144524713644;10073.1105;57.65746340219339;4.0545196989115455;11293.6;9.33199147256999;19445.23838220355;9.87535750582062;464869;13.04951092444873;1699541.0;14.345868772569883;712.6140873015872;6.5689400218531055;7505.9;8.923444656931025;224.0;5.4116460518550396;;;10.8
Basilicata;2012;ITF5;579360.0;13.269679324999467;10073.1105;57.51550129426258;4.052054499197369;10972.6;9.303156535214184;18939.1742612538;9.84898776817899;448453;13.01355916123277;1586060.0;14.276763511482793;701.1631944444445;6.552740662286184;7313.3;8.897449887265584;235.0;5.459585514144159;;;11.0
Basilicata;2013;ITF5;577550.0;13.266550297716826;10073.1105;57.33581498981868;4.048925471914727;11167.9;9.320798870807337;19336.680806856548;9.869759131054785;425993;12.962178193191619;1505987.0;14.224959055166604;695.0595238095239;6.543997487666502;7258.6;8.889942251757743;209.0;5.342334251964811;;;10.5
Basilicata;2014;ITF5;575814.0;13.263539970862547;10073.1105;57.16347497627471;4.045915145060449;11009.5;9.30651381542484;19119.88940873268;9.858484402526566;439047;12.992361747830051;1513785.0;14.230123694969427;725.6179273228997;6.587023605390562;7319.2;8.898256311365326;237.0;5.4680601411351315;;;12.1
Basilicata;2015;ITF5;573236.0;13.259052778267542;10073.1105;56.90754608519384;4.041427952465443;11997.1;9.392420232897376;20928.727435122702;9.948878012594108;451507;13.020346155594963;1521335.0;14.23509879682563;727.3138401732463;6.589358076504042;7552.7;8.929660394207787;242.0;5.488937726156687;;;12.2
Basilicata;2016;ITF5;569887.0;13.25319337454344;10073.1105;56.57507678487196;4.03556854874134;12391.1;9.424733751957586;21743.082400546074;9.987050935378422;417797;12.9427509476097;1452154.0;14.18855852934891;725.2132936507937;6.586465809725914;7507.7;8.923684439529286;250.0;5.521460917862246;100.6;4.611152257665639;11.8
Basilicata;2017;ITF5;566405.0;13.2470646490063;10073.1105;56.2294040157705;4.0294398232042;12410.8;9.42632234026275;21911.52973578976;9.994768249220726;454802;13.027617438386228;1658621.0;14.321497092199685;725.5853174603175;6.586978663563557;7552.7;8.929660394207787;233.0;5.4510384535657;102.3;4.627909672957581;11.1
Basilicata;2018;ITF5;562968.0;13.240978067140569;10073.1105;55.8881985857298;4.02335324133847;12712.9;9.450372504955212;22581.9229512157;10.024904995778916;487877;13.097818603885223;1637111.0;14.308443661018442;724.5925390119601;6.585609481709042;7719.5;8.951504874081982;243.0;5.493061443340548;104.0;4.6443908991413725;11.4
Basilicata;2019;ITF5;558587.0;13.233165659755525;10073.1105;55.45327830961449;4.015540833953425;12504.0;9.433803872101313;22385.053715893853;10.016148770310062;484325;13.090511447955146;1640736.0;14.310655479616342;724.4940476190476;6.585473545880261;7811.5;8.963352285851958;259.0;5.556828061699537;104.9;4.653007515402251;11.8
Basilicata;2020;ITF5;553254.0;13.223572487891678;10073.1105;54.92384899381378;4.0059476620895795;11304.4;9.33294730944248;20432.56804288808;9.924885379515075;231559;12.352589979648464;922993.0;13.7353769294909;685.2224598835558;6.529743544493547;7835.5;8.96641996896327;240.0;5.480638923341991;100.2;4.607168188650764;11.8
Basilicata;2021;ITF5;545130.0;13.208779577311212;10073.1768;54.116989190540174;3.991148169651224;12450.9;9.429548188436746;22840.239942765947;10.036279169089807;333834;12.718399142422399;1263765.0;14.049605918682579;660.6958250497019;6.493293560035554;8125.6;9.002774850625292;252.0;5.529429087511423;109.1;4.692264892839025;11.3
Basilicata;2022;ITF5;541168.0;13.201485045666644;10073.1768;53.7236673935873;3.983853638006655;12583.4;9.440133764008271;23252.29873163232;10.054159276305903;444459;13.004613091211676;1568518.0;14.265641782479442;663.1410791205151;6.496987756569875;8534.1;9.051825181513836;268.0;5.5909869805108565;145.3;4.9788005705762375;11.1
Basilicata;2023;ITF5;537577.0;13.194827284537775;10073.1768;53.36717608292153;3.977195876877786;12651.7;9.445546872478273;23534.675032599986;10.066230145904774;475623;13.072380802595816;1647590.0;14.314824172091315;664.4731610337972;6.498994487621733;9019.5;9.107144179147733;273.0;5.60947179518496;137.7;4.925077405734609;10.8
Basilicata;2024;ITF5;533233.0;13.186713755844172;10073.1768;52.935931790654166;3.9690823481841844;;;;;488620;13.09934037024679;1684347.0;14.336888509564705;674.3861829025846;6.5138029184922726;;;246.0;5.5053315359323625;133.3;4.892602227184663;9.2
Calabria;2011;ITF6;1972049.0;14.494583661706198;15221.6147;129.5558348353148;4.864111945247567;37064.8;10.520423011150186;18795.07050788292;9.841349907408263;1136190;13.94319111779905;3479590.0;15.062425028717842;669.9429898648649;6.50719261901074;24722.2;10.115456904375405;226.0;5.420534999272286;;;11.3
