FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.2,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.9,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,103.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,105.3,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,113.9,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,120.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,121.2,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.3,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.3,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.9,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.9,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,105.2,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,115.4,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,122.1,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,123.1,,
