Region,Year,territory_code,population,area_km2,density,log_density,gdp,gdp_per_capita,log_gdp,log_gdp_per_capita,tourism_arrivals,tourism_nightspent,log_tourism_nightspent,Observation_Average_Monthly_Exp,Observation_CPI_housing,Observation_Disp_Income,Observation_Income_Percentage,HPI_average
Marche,2018,ITE3,1526331.0,9401.1839,162.35519017982406,5.089786467115921,42873.0,28088.926975865656,10.665997536149904,10.243130719862284,1618306,5218756.0,15.46776961728124,277.0,103.9,27683.2,10.0,1012.0901978892912
Marche,2019,ITE3,1520321.0,9401.1839,161.7159089931216,5.085841147600767,43152.3,28383.676868240327,10.672490997524422,10.253569500751956,1662787,5476367.0,15.51595248286718,286.0,105.9,27702.9,10.3,1018.3620576041296
Marche,2020,ITE3,1512672.0,9401.1839,160.9022880618259,5.080797274293909,39248.7,25946.60309703624,10.577673601642934,10.163795978177326,877092,3454220.0,15.055107229927884,291.0,102.4,26814.5,9.7,1011.164601583128
Marche,2021,ITE3,1498236.0,9346.0194,160.30739247128037,5.077093175029283,42528.3,28385.581443777883,10.657925015664164,10.253636599586605,1197191,4249408.0,15.262290237080624,312.0,109.2,28273.9,10.6,1050.299834574028
Marche,2022,ITE3,1487150.0,9346.0194,159.1212190293549,5.06966629558572,44340.0,29815.418753992537,10.699642483170305,10.302780946536306,1546865,5111162.0,15.446937333589323,305.0,145.3,29999.4,10.5,1082.6257902492955
Marche,2023,ITE3,1484298.0,9346.0194,158.81606237624547,5.067746692162896,44406.8,29917.71194194158,10.701147889846723,10.30620595663555,1661157,5345008.0,15.491673599166075,318.0,152.1,31504.6,10.0,1091.5455870108244
Marche,2024,ITE3,1482746.0,9346.0194,158.65000237427284,5.066700532994681,,,,,1695177,5101471.0,15.445039487478772,303.0,145.9,,9.2,1114.275811648703
Molise,2011,ITF2,314816.0,4460.4373,70.57962680026912,4.256741530620069,7191.9,22844.7728196788,8.880710671716637,10.0364776095259,812521,2359436.0,14.673933165389943,228.0,,4587.1,10.8,716.3924206583876
Molise,2012,ITF2,313916.0,4460.4373,70.37785286209494,4.253878623643113,6901.4,21984.862192433644,8.839479568554948,9.998109413341169,820623,2301092.0,14.648894350834471,220.0,,4411.8,10.7,721.698049063824
Molise,2013,ITF2,313408.0,4460.4373,70.26396268365885,4.252259045527047,6427.9,20509.687053297937,8.768403169797999,9.928652592700285,728565,2079671.0,14.547720266089897,245.0,,4349.9,12.5,724.6309963099632
