FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),PURCHASES_DWELLINGS,Purchases of dwellings,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,115.9,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,125.4,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,128.8,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,124.8,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,114.1,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,104.9,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,100.6,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,98.9,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,97.1,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,95.2,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,95.5,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,98.4,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,101.4,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,101.6,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,104.1,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,130.8,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,137,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,133.2,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,119.3,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,106.9,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,101.1,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,98.9,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,97.2,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,94.1,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,94.8,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,97.2,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,100.7,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,101.5,,
A,Annual,ITE43,Roma,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,103.8,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,108.9,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,111.1,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,108.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,103.4,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,102.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,101,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,100.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,99.4,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,98.6,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,100.1,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,101.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,103.9,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,104.4,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,108.3,,
