FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,Year,Observation_Average_Monthly_Exp,OBS_STATUS,Observation status
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,313,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,308,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,308,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,293,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,295,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,303,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,269,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,277,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,286,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,291,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,312,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,305,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,318,,
A,Annual,ITE3,Marche,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,303,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,346,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,333,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,354,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,334,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,326,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,336,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,308,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,316,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,316,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,278,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,311,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,322,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,322,,
A,Annual,ITE4,Lazio,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,324,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,286,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,274,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,259,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,240,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,222,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,264,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,246,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,240,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,264,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,284,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,261,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,273,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,283,,
A,Annual,ITF1,Abruzzo,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,249,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,228,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,220,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,245,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,211,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,218,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,247,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,215,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,240,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,221,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,231,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,249,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,256,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,260,,
A,Annual,ITF2,Molise,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,252,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,298,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,292,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,279,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,282,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,276,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,280,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,278,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,277,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,290,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,264,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,292,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,297,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,294,,
A,Annual,ITF3,Campania,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,286,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,253,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,244,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,244,,
