DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Bolzano/Bozen,2018,17703297,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Bolzano/Bozen,2019,17913063,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Trento,2015,4594935,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Trento,2016,4803485,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Trento,2017,4929071,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Trento,2018,5016183,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Trento,2019,5097084,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Veneto,2015,20461342,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Veneto,2016,21152999,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Veneto,2017,21771739,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Veneto,2018,21591883,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Veneto,2019,21329143,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Friuli-Venezia Giulia,2015,2144339,,
