FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Year,Observation_CPI_housing
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,103.7
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,100.3
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,107.4
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,146.4
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,150.6
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,143.2
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.9
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,100.8
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,103.6
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,104.7
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,101.5
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,108.1
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,146
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,154.7
A,Annual,ITE1,Toscana,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,147.1
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,97.6
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,100
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,102.2
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,103.2
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,99.9
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,106.6
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,145
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,154.4
A,Annual,ITE2,Umbria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,148.1
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,99
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,101.1
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,103.9
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,105.9
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,102.4
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.2
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,145.3
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,152.1
A,Annual,ITE3,Marche,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,145.9
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,97.8
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,98.9
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,101.3
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,102.8
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,98.7
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,105.1
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,136.7
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,139.9
A,Annual,ITE4,Lazio,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,132.2
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,99.2
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,101
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,104
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,105.4
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,102
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.9
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,155.3
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,159.2
A,Annual,ITF1,Abruzzo,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,146.7
A,Annual,ITF2,Molise,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,156.2
A,Annual,ITF2,Molise,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,143.9
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.7
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,100.2
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,103.1
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,104.3
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,101.5
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.2
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,146.3
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,147.1
A,Annual,ITF3,Campania,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,137.8
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.9
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,101.7
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,104.2
