FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,13.5,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,12.8,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,13.7,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,13.5,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,13.2,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,13,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,11.5,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11.7,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,12.2,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,11.2,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,12.1,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,11.9,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,11.5,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,10.4,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,387,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,391,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,368,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,388,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,387,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,383,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,371,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,338,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,353,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,365,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,352,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,380,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,400,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,398,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,380,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,12.9,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,12.7,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,12.7,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,13.1,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,12.7,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,12.4,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,12.1,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,10.9,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,11.4,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,10.7,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,11.2,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,10.8,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,10.8,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,9.7,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,356,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,355,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,350,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,355,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,347,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,339,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,341,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,315,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,323,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,333,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,331,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,339,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,345,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,370,,
A,Annual,ITD,Nord-est,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,337,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,12.4,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,12.7,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,12.2,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,13.6,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,12.9,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,12.6,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,12.8,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,11.5,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11.2,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,11.3,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,10,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,11.2,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,11.3,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,10.5,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,10,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,335,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,337,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,325,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,348,,
